City,Region,Neighborhood,Property Type,Area (sqm),Bedrooms,Bathrooms,Floor Number,Elevator,Property Age (years),Furnished,Listing Type,Selling Price (SAR)
Riyadh,East,Al-Naseem Al-Sharqi (Eastern Naseem),apartment,118,1,2,4,No,8,No,Sale,390641.42
Riyadh,Central,Al-Maather,apartment,150,2,1,2,Yes,5,No,Sale,196779.02
Riyadh,South,Al-Khalidiyah,apartment,153,2,2,4,No,8,Yes,Sale,150385.63
Riyadh,West,Al-Suwaidi Al-Gharbi (Western Suwaidi),apartment,245,1,1,2,Yes,4,No,Sale,648340.09
Riyadh,Central,Al-Dhobat,apartment,231,1,4,5,No,4,Yes,Sale,457881.87
Riyadh,North,Al-Rabi,apartment,194,1,2,1,Yes,9,Yes,Sale,2306265.3
Riyadh,South,Badr,apartment,105,3,3,1,No,10,Yes,Sale,92517.61
Riyadh,East,Al-Khaleej,apartment,218,2,2,3,Yes,10,No,Sale,851302.9
Riyadh,West,Al-Suwaidi,apartment,207,3,2,2,Yes,7,No,Sale,462386.09
Riyadh,South,Al-Ha’ir,apartment,275,4,1,3,No,8,Yes,Sale,303198.23
Riyadh,West,Al-Suwaidi,apartment,154,1,3,2,No,9,No,Sale,356462.91
Riyadh,North,Hittin,apartment,164,1,4,2,Yes,3,No,Sale,1317689.08
Riyadh,South,Al-Khalidiyah,apartment,115,2,4,2,No,9,No,Sale,146234.48
Riyadh,Central,Al-Batha,apartment,162,1,4,1,No,8,No,Sale,202795.49
Riyadh,South,Al-Dar Al-Baida,apartment,148,3,2,1,Yes,6,Yes,Sale,143085.96
Riyadh,Central,Al-Yamamah,apartment,137,1,4,4,No,7,Yes,Sale,262749.06
Riyadh,West,Ad-Diriyah,apartment,242,2,1,2,No,6,No,Sale,782956.29
Riyadh,East,Al-Naseem Al-Gharbi (Western Naseem),apartment,237,1,2,3,No,3,No,Sale,1144641.2
Riyadh,North,Al-Nakheel,apartment,269,1,3,2,No,3,Yes,Sale,2325387.11
Riyadh,North,Al-Maseef,apartment,239,2,1,1,Yes,1,Yes,Sale,2057282.56
Riyadh,South,Al-Khalidiyah,apartment,173,4,1,3,Yes,8,Yes,Sale,152057.64
Riyadh,South,Al-Dar Al-Baida,apartment,138,3,3,3,Yes,2,No,Sale,188992.02
Riyadh,South,Al-Dar Al-Baida,apartment,98,2,4,5,Yes,6,Yes,Sale,135400.9
Riyadh,North,Al-Sahafa,apartment,152,1,4,5,No,6,No,Sale,1764000.97
Riyadh,Central,Al-Jaradiyah,apartment,203,1,3,4,Yes,2,Yes,Sale,208080.19
Riyadh,North,Al-Aarid,apartment,246,3,1,4,No,2,Yes,Sale,2210962.9
Riyadh,West,Al-Oraija,apartment,160,4,3,4,Yes,1,No,Sale,404911.68
Riyadh,East,Granada (Ghernata),apartment,96,2,2,2,No,3,Yes,Sale,338112.31
Riyadh,South,Al-Khalidiyah,apartment,90,3,1,4,Yes,4,No,Sale,124017.4
Riyadh,South,Al-Dar Al-Baida,apartment,232,2,1,3,Yes,10,Yes,Sale,215094.97
Riyadh,North,Al-Rabi,apartment,135,1,1,5,No,10,Yes,Sale,960725.71
Riyadh,Central,Al-Jaradiyah,apartment,194,3,3,4,Yes,1,Yes,Sale,297301.42
Riyadh,East,Al-Shuhada,apartment,145,2,2,2,Yes,10,No,Sale,462499.21
Riyadh,Central,Al-Wurud,apartment,163,1,4,4,No,2,No,Sale,277845.79
Riyadh,Central,Al-Murabba,apartment,249,2,2,2,Yes,5,No,Sale,306490.89
Riyadh,South,Al-Marwah,apartment,96,3,1,3,Yes,10,No,Sale,92277.45
Riyadh,North,Al-Wadi,apartment,247,3,3,5,No,10,Yes,Sale,1993278.14
Riyadh,East,Al-Naseem Al-Gharbi (Western Naseem),apartment,120,4,1,4,Yes,10,No,Sale,557383.43
Riyadh,North,Al-Yasmeen,apartment,99,4,3,5,Yes,7,Yes,Sale,1037011.35
Riyadh,North,Al-Maseef,apartment,234,2,3,5,No,2,No,Sale,1658402.75
Riyadh,East,Al-Rimal,apartment,162,4,1,1,No,9,Yes,Sale,758773.74
Riyadh,North,Al-Wadi,apartment,271,1,3,5,Yes,8,Yes,Sale,2348033.16
Riyadh,Central,Al-Sulaimaniya,apartment,93,2,4,2,No,10,Yes,Sale,174979.67
Riyadh,Central,Al-Morouj,apartment,259,2,2,2,No,6,Yes,Sale,379574.92
Riyadh,East,Al-Yarmouk,apartment,277,2,2,5,Yes,9,Yes,Sale,1026993.67
Riyadh,Central,Al-Sulaimaniya,apartment,105,4,4,4,Yes,9,No,Sale,149199.01
Riyadh,Central,Al-Maather,apartment,235,4,4,4,Yes,10,Yes,Sale,448528.42
Riyadh,South,Al-Shifa,apartment,217,2,4,5,No,2,Yes,Sale,237460.26
Riyadh,West,Al-Oraija,apartment,219,3,1,2,Yes,5,No,Sale,780478.22
Riyadh,North,Al-Sahafa,apartment,224,3,4,4,Yes,2,Yes,Sale,1631473.76
Riyadh,East,Ishbiliyah,apartment,207,1,3,2,Yes,1,Yes,Sale,861394.03
Riyadh,South,Al-Difa,apartment,140,2,2,3,Yes,5,Yes,Sale,179445.74
Riyadh,East,Al-Yarmouk,apartment,191,2,1,5,Yes,9,Yes,Sale,859112.75
Riyadh,Central,Al-Dhobat,apartment,104,1,2,4,Yes,2,Yes,Sale,207812.27
Riyadh,East,Al-Naseem Al-Sharqi (Eastern Naseem),apartment,274,4,4,3,No,7,Yes,Sale,891676.0
Riyadh,Central,Al-Morouj,apartment,264,4,4,5,Yes,10,Yes,Sale,436727.79
Riyadh,South,Al-Fawaz,apartment,124,1,1,1,No,8,Yes,Sale,177406.28
Riyadh,Central,Al-Dhobat,apartment,263,2,4,2,Yes,8,Yes,Sale,377451.88
Riyadh,North,Al-Sahafa,apartment,139,2,2,2,No,6,Yes,Sale,1187780.62
Riyadh,North,Hittin,apartment,164,3,1,1,No,10,No,Sale,1690909.39
Riyadh,North,Al-Nakheel Al-Sharqi (Eastern Nakheel),apartment,165,2,3,3,No,7,No,Sale,1647055.82
Riyadh,East,Ishbiliyah,apartment,252,4,2,4,No,5,No,Sale,932781.25
Riyadh,East,Al-Rawdah,apartment,137,1,3,2,No,2,Yes,Sale,631289.84
Riyadh,West,Al-Suwaidi Al-Gharbi (Western Suwaidi),apartment,176,2,4,4,Yes,10,No,Sale,378597.56
Riyadh,South,Al-Shifa,apartment,206,4,3,3,Yes,6,Yes,Sale,235549.31
Riyadh,North,Al-Rabi,apartment,259,4,1,5,Yes,4,No,Sale,2786406.09
Riyadh,West,Sultanah,apartment,154,3,4,5,Yes,4,Yes,Sale,382460.18
Riyadh,East,Al-Munsiyah,apartment,184,4,2,4,No,4,Yes,Sale,872517.91
Riyadh,North,Al-Aqiq,apartment,119,3,4,3,Yes,10,No,Sale,893458.15
Riyadh,East,Al-Naseem Al-Sharqi (Eastern Naseem),apartment,103,4,2,1,Yes,4,No,Sale,341628.46
Riyadh,South,Al-Aziziyah,apartment,184,2,1,3,Yes,2,No,Sale,164156.36
Riyadh,West,Al-Mousa,apartment,262,1,2,3,No,5,No,Sale,691917.22
Riyadh,South,Al-Difa,apartment,282,1,4,5,Yes,4,Yes,Sale,256017.84
Riyadh,West,Dhahiyat Laban (Laban Suburb),apartment,251,2,3,2,No,4,No,Sale,926660.32
Riyadh,East,Al-Khaleej,apartment,179,3,2,3,Yes,9,Yes,Sale,648332.79
Riyadh,West,Sultanah,apartment,199,1,2,1,No,2,Yes,Sale,554744.97
Riyadh,South,Al-Shifa,apartment,165,4,4,1,Yes,7,No,Sale,178703.79
Riyadh,East,Al-Munsiyah,apartment,191,4,1,3,No,3,No,Sale,773223.94
Riyadh,West,Al-Badiyah,apartment,154,4,1,4,Yes,7,No,Sale,567469.71
Riyadh,Central,Al-Malaz,apartment,253,1,1,2,Yes,1,Yes,Sale,298620.06
Riyadh,West,Al-Suwaidi Al-Gharbi (Western Suwaidi),apartment,136,2,1,3,No,10,No,Sale,385839.16
Riyadh,West,Al-Badiyah,apartment,250,3,2,5,Yes,3,Yes,Sale,665146.92
Riyadh,East,Al-Naseem Al-Gharbi (Western Naseem),apartment,110,2,4,4,No,9,Yes,Sale,343992.11
Riyadh,Central,Al-Murabba,apartment,178,1,1,5,Yes,4,No,Sale,224356.9
Riyadh,South,Badr,apartment,272,3,4,5,No,8,No,Sale,400240.47
Riyadh,East,Al-Jazirah,apartment,137,1,1,4,Yes,6,No,Sale,492148.33
Riyadh,Central,Al-Fakheriyah,apartment,234,1,3,2,No,2,Yes,Sale,397428.29
Riyadh,West,Dhahret Laban,apartment,166,3,2,4,Yes,8,No,Sale,648084.59
Riyadh,Central,Al-Fakheriyah,apartment,108,1,1,4,No,6,Yes,Sale,168178.55
Riyadh,West,Al-Suwaidi,apartment,226,2,2,1,No,2,No,Sale,850083.03
Riyadh,South,Al-Shaalan,apartment,138,3,1,3,No,2,No,Sale,122684.79
Riyadh,West,Namar,apartment,105,4,3,3,Yes,7,Yes,Sale,210989.18
Riyadh,North,Al-Nakheel Al-Gharbi (Western Nakheel),apartment,149,1,3,2,Yes,4,No,Sale,1306783.9
Riyadh,North,Al-Aqiq,apartment,175,2,2,3,No,10,No,Sale,1763290.09
Riyadh,North,Al-Nakheel,apartment,109,1,4,3,No,5,No,Sale,856274.76
Riyadh,South,Al-Aziziyah,apartment,237,2,2,3,Yes,3,No,Sale,311658.58
Riyadh,East,Al-Ruwad,apartment,215,4,1,4,Yes,1,Yes,Sale,920714.13
Riyadh,East,Al-Jazirah,apartment,124,4,1,2,Yes,1,Yes,Sale,506244.29
Riyadh,East,Al-Munsiyah,apartment,117,3,2,4,No,10,No,Sale,462541.77
Riyadh,West,Al-Mousa,apartment,113,3,2,3,No,1,Yes,Sale,404747.9
Riyadh,Central,Al-Sulaimaniya,apartment,210,3,1,4,Yes,9,No,Sale,403086.88
Riyadh,East,Al-Ruwad,apartment,283,1,1,4,Yes,4,Yes,Sale,1154480.54
Riyadh,North,Al-Nakheel Al-Sharqi (Eastern Nakheel),apartment,124,3,1,4,No,2,No,Sale,1172561.49
Riyadh,West,Al-Huda,apartment,112,1,2,2,No,2,Yes,Sale,269622.75
Riyadh,West,Al-Suwaidi Al-Gharbi (Western Suwaidi),apartment,93,2,2,4,No,5,No,Sale,202718.75
Riyadh,South,Al-Marwah,apartment,101,3,4,2,Yes,7,Yes,Sale,90030.71
Riyadh,North,Al-Maseef,apartment,121,4,2,4,No,4,No,Sale,1053524.21
Riyadh,South,Al-Mansourah,apartment,124,1,3,4,Yes,1,Yes,Sale,142003.73
Riyadh,North,Al-Nakheel Al-Gharbi (Western Nakheel),apartment,197,1,3,1,Yes,3,No,Sale,2217820.27
Riyadh,South,Al-Mansourah,apartment,182,1,3,5,Yes,4,No,Sale,252935.42
Riyadh,Central,Al-Fakheriyah,apartment,165,2,4,1,Yes,8,No,Sale,242619.52
Riyadh,West,Al-Suwaidi Al-Gharbi (Western Suwaidi),apartment,93,2,1,3,No,6,No,Sale,349196.13
Riyadh,West,Al-Oraija Al-Gharbi (Western Oraija),apartment,265,4,3,3,Yes,10,Yes,Sale,881201.19
Riyadh,Central,Al-Fakheriyah,apartment,230,4,1,4,No,5,Yes,Sale,238039.52
Riyadh,West,Sultanah,apartment,280,4,3,2,Yes,3,Yes,Sale,792773.89
Riyadh,Central,Al-Malaz,apartment,137,4,1,1,No,3,No,Sale,268546.06
Riyadh,North,Al-Wadi,apartment,237,3,2,1,No,8,Yes,Sale,1926220.6
Riyadh,North,Al-Nakheel Al-Sharqi (Eastern Nakheel),apartment,279,1,1,4,Yes,9,No,Sale,3019747.7
Riyadh,South,Al-Dar Al-Baida,apartment,267,2,2,2,No,8,Yes,Sale,366635.3
Riyadh,West,Ad-Diriyah,apartment,282,3,1,5,No,3,Yes,Sale,609324.77
Riyadh,North,Al-Sahafa,apartment,154,1,1,2,No,3,No,Sale,1233919.52
Riyadh,East,Al-Naseem Al-Gharbi (Western Naseem),apartment,280,3,1,4,No,5,Yes,Sale,1232056.96
Riyadh,North,Al-Falah,apartment,247,4,3,2,No,4,No,Sale,2036776.27
Riyadh,North,Al-Jameah (University District),apartment,205,1,1,3,No,7,No,Sale,1546479.05
Riyadh,South,Al-Difa,apartment,129,4,4,4,Yes,8,Yes,Sale,139126.68
Riyadh,Central,Al-Jaradiyah,apartment,279,1,3,3,Yes,4,Yes,Sale,549149.1
Riyadh,West,Shubra,apartment,146,1,3,1,No,8,Yes,Sale,571662.37
Riyadh,North,Al-Yasmeen,apartment,112,2,3,4,Yes,1,No,Sale,1184533.16
Riyadh,Central,Al-Batha,apartment,114,2,2,1,No,9,No,Sale,224051.63
Riyadh,South,Al-Aziziyah,apartment,146,1,1,3,Yes,9,Yes,Sale,178768.14
Riyadh,South,Badr,apartment,163,3,4,1,No,6,No,Sale,168341.98
Riyadh,Central,Al-Batha,apartment,256,1,1,4,Yes,8,Yes,Sale,456785.19
Riyadh,Central,Al-Fakheriyah,apartment,138,3,2,4,Yes,7,No,Sale,152195.81
Riyadh,South,Al-Dar Al-Baida,apartment,201,3,4,3,Yes,6,Yes,Sale,239141.9
Riyadh,South,Al-Marwah,apartment,191,3,3,2,No,7,No,Sale,195296.19
Riyadh,South,Al-Shaalan,apartment,263,3,3,3,No,3,No,Sale,242791.77
Riyadh,West,Dhahiyat Laban (Laban Suburb),apartment,117,3,1,1,Yes,7,Yes,Sale,284257.77
Riyadh,West,Al-Suwaidi Al-Gharbi (Western Suwaidi),apartment,165,4,1,3,No,8,Yes,Sale,381936.44
Riyadh,Central,Al-Sulaimaniya,apartment,194,4,2,5,No,5,Yes,Sale,282119.02
Riyadh,East,Al-Khaleej,apartment,92,4,3,4,No,10,Yes,Sale,315807.14
Riyadh,North,Al-Aqiq,apartment,253,1,4,3,No,1,Yes,Sale,1890995.83
Riyadh,South,Badr,apartment,148,2,2,5,No,2,Yes,Sale,188392.26
Riyadh,Central,Al-Morouj,apartment,228,3,1,1,No,5,Yes,Sale,402950.59
Riyadh,Central,Al-Yamamah,apartment,130,3,1,1,Yes,6,No,Sale,150890.42
Riyadh,South,Al-Khalidiyah,apartment,140,1,1,2,Yes,7,Yes,Sale,193791.94
Riyadh,West,Al-Mousa,apartment,229,4,1,3,Yes,3,No,Sale,868091.11
Riyadh,West,Namar,apartment,270,1,2,3,No,8,No,Sale,817518.77
Riyadh,East,Al-Naseem Al-Sharqi (Eastern Naseem),apartment,242,3,1,4,Yes,1,No,Sale,836253.09
Riyadh,Central,Al-Yamamah,apartment,91,2,3,2,Yes,5,Yes,Sale,173790.08
Riyadh,North,Al-Wadi,apartment,263,4,3,4,No,7,Yes,Sale,2072973.73
Riyadh,Central,Al-Dhobat,apartment,103,2,1,2,No,3,No,Sale,184050.58
Riyadh,South,Al-Ha’ir,apartment,188,4,2,1,Yes,2,Yes,Sale,176074.23
Riyadh,North,Al-Aqiq,apartment,155,4,2,4,Yes,4,No,Sale,1783308.46
Riyadh,North,Hittin,apartment,179,4,4,1,Yes,6,No,Sale,1995342.34
Riyadh,West,Al-Suwaidi,apartment,106,4,1,4,No,9,Yes,Sale,366396.41
Riyadh,Central,Al-Malaz,apartment,274,1,1,1,No,8,Yes,Sale,428546.33
Riyadh,Central,Al-Malaz,apartment,147,4,3,3,No,6,Yes,Sale,209677.53
Riyadh,South,Al-Ha’ir,apartment,98,1,4,5,No,10,No,Sale,95586.27
Riyadh,West,Al-Suwaidi,apartment,177,4,1,5,Yes,6,Yes,Sale,468858.36
Riyadh,East,Al-Quds,apartment,143,4,1,2,No,8,Yes,Sale,688146.5
Riyadh,West,Al-Mousa,apartment,279,4,3,2,Yes,1,No,Sale,683093.39
Riyadh,South,Al-Aziziyah,apartment,269,3,3,3,No,2,Yes,Sale,275640.67
Riyadh,Central,Al-Sulaimaniya,apartment,153,3,2,4,No,8,No,Sale,267751.65
Riyadh,South,Al-Shifa,apartment,214,4,4,1,Yes,1,Yes,Sale,214745.99
Riyadh,East,Al-Rayan,apartment,252,2,1,5,No,8,No,Sale,1179848.12
Riyadh,Central,Al-Fakheriyah,apartment,119,2,4,2,Yes,1,Yes,Sale,206980.53
Riyadh,North,Al-Sahafa,apartment,157,4,4,4,No,6,Yes,Sale,1653547.42
Riyadh,North,Hittin,apartment,182,2,3,2,No,6,No,Sale,1320093.62
Riyadh,West,Tuwaiq,apartment,148,4,3,4,Yes,4,Yes,Sale,575335.07
Riyadh,South,Al-Ha’ir,apartment,283,4,3,2,Yes,8,Yes,Sale,411639.45
Riyadh,North,Al-Qirawan,apartment,229,3,3,4,Yes,4,Yes,Sale,1991522.06
Riyadh,East,Al-Khaleej,apartment,110,1,3,1,No,8,No,Sale,465778.93
Riyadh,South,Al-Mansourah,apartment,214,3,3,3,No,1,No,Sale,226192.85
Riyadh,Central,Al-Batha,apartment,229,1,2,5,No,3,No,Sale,311334.64
Riyadh,West,Sultanah,apartment,209,1,1,5,Yes,8,Yes,Sale,513247.69
Riyadh,North,Al-Falah,apartment,182,1,1,2,Yes,3,Yes,Sale,1937117.29
Riyadh,North,Al-Nakheel,apartment,152,3,1,3,No,1,Yes,Sale,1264448.17
Riyadh,North,Al-Nakheel Al-Sharqi (Eastern Nakheel),apartment,172,1,1,3,No,5,Yes,Sale,1771907.08
Riyadh,Central,Al-Murabba,apartment,194,3,2,2,No,8,No,Sale,306040.72
Riyadh,North,Al-Izdihar,apartment,253,3,4,3,Yes,7,Yes,Sale,2993999.12
Riyadh,South,Al-Shaalan,apartment,147,1,1,4,No,1,Yes,Sale,140601.01
Riyadh,North,Al-Rabi,apartment,210,3,3,4,No,10,Yes,Sale,1734113.04
Riyadh,East,Al-Rimal,apartment,270,2,4,1,Yes,3,Yes,Sale,1210032.43
Riyadh,North,Al-Maseef,apartment,102,1,4,4,No,3,Yes,Sale,1091397.81
Riyadh,East,Al-Munsiyah,apartment,108,2,2,3,No,9,No,Sale,353212.68
Riyadh,West,Tuwaiq,apartment,149,2,1,5,No,3,No,Sale,502691.76
Riyadh,North,Al-Malqa,apartment,109,3,3,4,Yes,7,Yes,Sale,1178270.13
Riyadh,West,Shubra,apartment,264,3,1,1,No,5,No,Sale,936794.6
Riyadh,West,Sultanah,apartment,162,1,4,4,No,5,No,Sale,367174.55
Riyadh,North,Al-Jameah (University District),apartment,123,2,2,2,No,4,No,Sale,1275813.77
Riyadh,East,Al-Jazirah,apartment,282,1,1,2,No,1,No,Sale,1287924.76
Riyadh,South,Al-Mansourah,apartment,234,1,3,3,No,4,Yes,Sale,332881.78
Riyadh,West,Al-Oraija,apartment,216,1,2,3,No,2,No,Sale,607270.07
Riyadh,Central,Al-Yamamah,apartment,109,2,1,2,Yes,10,Yes,Sale,136659.64
Riyadh,West,Al-Huda,apartment,215,2,1,5,No,6,Yes,Sale,661336.85
Riyadh,Central,Al-Murqab,apartment,234,1,3,5,No,6,Yes,Sale,323416.91
Riyadh,East,Al-Khaleej,apartment,111,1,2,3,No,8,Yes,Sale,465627.21
Riyadh,Central,Al-Dhobat,apartment,203,3,4,5,Yes,1,No,Sale,244947.38
Riyadh,West,Al-Suwaidi,apartment,158,3,4,4,Yes,5,No,Sale,404294.03
Riyadh,South,Al-Mansourah,apartment,196,4,1,5,Yes,6,Yes,Sale,185592.35
Riyadh,West,Al-Huda,apartment,95,4,3,1,Yes,7,No,Sale,371280.69
Riyadh,North,Al-Jameah (University District),apartment,281,2,2,4,No,1,Yes,Sale,2248792.7
Riyadh,North,Al-Aarid,apartment,154,2,4,5,Yes,6,Yes,Sale,1516465.32
Riyadh,Central,Al-Dhobat,apartment,141,2,2,1,No,9,Yes,Sale,211792.96
Riyadh,Central,Al-Yamamah,apartment,155,3,2,3,Yes,8,No,Sale,270935.61
Riyadh,Central,Al-Batha,apartment,165,2,4,5,Yes,2,Yes,Sale,273640.19
Riyadh,West,Dhahiyat Laban (Laban Suburb),apartment,160,1,4,3,No,10,No,Sale,372095.36
Riyadh,East,Al-Quds,apartment,151,3,2,1,No,4,No,Sale,524694.75
Riyadh,East,Al-Yarmouk,apartment,208,2,1,2,Yes,6,Yes,Sale,852265.84
Riyadh,South,Al-Mansourah,apartment,166,1,2,2,Yes,9,No,Sale,199632.88
Riyadh,West,Namar,apartment,98,4,4,4,Yes,5,Yes,Sale,370131.68
Riyadh,North,Al-Falah,apartment,253,2,4,4,Yes,8,No,Sale,2923004.54
Riyadh,South,Al-Shaalan,apartment,278,2,2,3,Yes,4,No,Sale,412148.44
Riyadh,East,Al-Quds,apartment,121,2,4,3,Yes,8,Yes,Sale,421770.79
Riyadh,Central,Al-Malaz,apartment,95,1,1,2,No,9,No,Sale,187496.28
Riyadh,South,Al-Aziziyah,apartment,265,4,4,4,Yes,9,No,Sale,258797.05
Riyadh,East,Al-Ruwad,apartment,167,2,4,4,Yes,5,No,Sale,790428.6
Riyadh,West,Al-Mousa,apartment,280,4,3,5,Yes,8,Yes,Sale,820671.48
Riyadh,East,Al-Jazirah,apartment,124,1,1,1,No,7,No,Sale,446784.74
Riyadh,East,Al-Ruwad,apartment,184,4,1,3,No,5,Yes,Sale,861776.99
Riyadh,East,Al-Rayan,apartment,265,2,4,4,No,6,No,Sale,850082.76
Riyadh,Central,Al-Wurud,apartment,115,1,2,5,Yes,6,Yes,Sale,153965.33
Riyadh,South,Al-Difa,apartment,189,1,1,5,Yes,3,Yes,Sale,163908.72
Riyadh,Central,Al-Jaradiyah,apartment,218,4,4,1,No,4,Yes,Sale,413163.28
Riyadh,South,Badr,apartment,273,2,3,4,No,1,No,Sale,370895.1
Riyadh,South,Al-Dar Al-Baida,apartment,174,1,4,3,Yes,9,Yes,Sale,228053.22
Riyadh,Central,Al-Maather,apartment,208,1,4,2,Yes,8,No,Sale,367085.96
Riyadh,South,Al-Difa,apartment,154,2,3,5,Yes,2,No,Sale,140396.71
Riyadh,West,Al-Mousa,apartment,276,3,3,1,No,9,No,Sale,704860.25
Riyadh,Central,Al-Maather,apartment,202,4,4,2,Yes,6,No,Sale,227083.67
Riyadh,South,Badr,apartment,132,2,4,3,Yes,9,No,Sale,124165.15
Riyadh,East,Al-Naseem Al-Gharbi (Western Naseem),apartment,237,2,2,2,Yes,7,Yes,Sale,747219.73
Riyadh,South,Al-Mansourah,apartment,146,4,1,4,Yes,2,No,Sale,122213.93
Riyadh,West,Al-Suwaidi Al-Gharbi (Western Suwaidi),apartment,215,3,2,3,Yes,7,Yes,Sale,834939.27
Riyadh,South,Al-Khalidiyah,apartment,104,1,4,4,No,10,Yes,Sale,103579.04
Riyadh,Central,Al-Olaya,apartment,238,4,2,4,No,1,Yes,Sale,339708.81
Riyadh,East,Al-Shuhada,apartment,139,3,3,2,Yes,7,No,Sale,519320.43
Riyadh,South,Al-Khalidiyah,apartment,136,2,4,2,No,6,Yes,Sale,175299.77
Riyadh,West,Al-Badiyah,apartment,228,1,3,5,Yes,2,Yes,Sale,547628.46
Riyadh,Central,Al-Yamamah,apartment,127,1,2,3,Yes,1,Yes,Sale,133602.03
Riyadh,South,Badr,apartment,232,2,1,2,No,10,Yes,Sale,263702.22
Riyadh,East,Al-Munsiyah,apartment,136,1,4,5,Yes,8,Yes,Sale,598608.98
Riyadh,South,Badr,apartment,224,1,2,1,No,3,Yes,Sale,183048.65
Riyadh,South,Al-Shifa,apartment,263,3,1,3,No,4,Yes,Sale,265242.88
Riyadh,West,Al-Badiyah,apartment,228,4,3,1,Yes,8,Yes,Sale,499269.48
Riyadh,West,Namar,apartment,142,4,4,3,No,3,Yes,Sale,363911.53
Riyadh,South,Al-Difa,apartment,217,3,3,3,No,10,No,Sale,306691.27
Riyadh,West,Ad-Diriyah,apartment,198,4,3,3,Yes,1,No,Sale,536749.69
Riyadh,East,Al-Jazirah,apartment,119,1,2,4,No,9,No,Sale,524485.39
Riyadh,North,Al-Qirawan,apartment,191,3,4,1,No,5,No,Sale,2199097.31
Riyadh,North,Al-Jameah (University District),apartment,206,2,3,4,No,4,Yes,Sale,2003778.93
Riyadh,West,Ad-Diriyah,apartment,173,1,3,5,No,7,No,Sale,476251.63
Riyadh,West,Tuwaiq,apartment,284,1,3,5,No,9,No,Sale,830145.33
Riyadh,North,Al-Wadi,apartment,196,4,4,4,No,8,No,Sale,2327264.03
Riyadh,East,Granada (Ghernata),apartment,269,4,1,2,No,6,Yes,Sale,894676.06
Riyadh,East,Al-Munsiyah,apartment,141,1,3,1,No,8,No,Sale,665984.75
Riyadh,East,Al-Naseem Al-Gharbi (Western Naseem),apartment,265,4,2,3,Yes,1,No,Sale,1136760.9
Riyadh,Central,Al-Morouj,apartment,157,4,4,3,No,7,No,Sale,258325.0
Riyadh,West,Shubra,apartment,99,2,3,4,No,7,No,Sale,215197.91
Riyadh,North,Al-Nada,apartment,225,1,1,2,No,7,No,Sale,1869688.24
Riyadh,West,Al-Suwaidi,apartment,261,3,2,5,Yes,7,Yes,Sale,581828.86
Riyadh,Central,Al-Fakheriyah,apartment,92,2,2,5,Yes,8,No,Sale,100682.68
Riyadh,North,Al-Aqiq,apartment,106,2,1,5,Yes,7,No,Sale,1005668.97
Riyadh,East,Al-Nahda,apartment,91,1,1,3,No,10,Yes,Sale,277762.07
Riyadh,North,Al-Nakheel Al-Sharqi (Eastern Nakheel),apartment,140,1,4,4,Yes,9,No,Sale,1657294.46
Riyadh,East,Al-Ruwad,apartment,207,4,4,5,Yes,10,Yes,Sale,949843.95
Riyadh,South,Al-Difa,apartment,224,2,4,1,No,8,Yes,Sale,284528.25
Riyadh,North,Al-Nada,apartment,220,2,1,2,Yes,7,Yes,Sale,1580924.62
Riyadh,North,Al-Qirawan,apartment,162,2,2,5,No,9,No,Sale,1353518.17
Riyadh,North,Al-Maseef,apartment,122,4,3,2,Yes,8,No,Sale,1134839.23
Riyadh,West,Al-Mousa,apartment,136,2,2,2,Yes,2,Yes,Sale,468403.9
Riyadh,East,Al-Manar,apartment,94,4,1,3,Yes,8,Yes,Sale,300238.97
Riyadh,Central,Al-Dhobat,apartment,267,2,2,1,No,9,No,Sale,387226.36
Riyadh,North,Al-Aqiq,apartment,241,1,1,1,Yes,6,Yes,Sale,2142904.25
Riyadh,East,Al-Nahda,apartment,215,1,4,5,Yes,6,No,Sale,671843.25
Riyadh,East,Al-Naseem Al-Gharbi (Western Naseem),apartment,181,3,1,1,No,7,No,Sale,601158.88
Riyadh,Central,Al-Fakheriyah,apartment,180,1,2,1,No,9,No,Sale,277361.73
Riyadh,North,Al-Falah,apartment,245,3,1,3,Yes,10,Yes,Sale,2779684.16
Riyadh,West,Al-Oraija,apartment,167,3,1,1,Yes,10,No,Sale,510824.05
Riyadh,South,Al-Fawaz,apartment,231,4,4,5,Yes,1,No,Sale,257786.34
Riyadh,West,Ad-Diriyah,apartment,163,2,3,5,Yes,2,No,Sale,558508.79
Riyadh,South,Al-Fawaz,apartment,207,2,4,3,No,8,No,Sale,256749.15
Riyadh,North,Al-Ghadeer,apartment,179,2,3,5,Yes,5,No,Sale,1530545.09
Riyadh,North,Al-Nakheel Al-Sharqi (Eastern Nakheel),apartment,169,3,3,1,No,4,Yes,Sale,2006503.86
Riyadh,Central,Al-Wurud,apartment,188,4,3,3,No,1,No,Sale,229570.85
Riyadh,Central,Al-Wurud,apartment,225,4,1,1,No,4,No,Sale,351073.77
Riyadh,South,Al-Difa,apartment,175,2,4,5,No,6,Yes,Sale,171884.09
Riyadh,South,Al-Ha’ir,apartment,219,3,4,1,Yes,8,No,Sale,211075.57
Riyadh,West,Al-Mousa,apartment,174,2,1,3,No,10,No,Sale,684746.63
Riyadh,North,Al-Izdihar,apartment,112,4,4,2,No,8,Yes,Sale,1224480.63
Riyadh,South,Al-Ha’ir,apartment,229,2,3,5,No,9,No,Sale,262801.7
